feature_name,computation_formula,window_start,window_end,includes_future_t_plus_h,is_suspect,suspect_reason
mkt_n10d_lag_14,mkt_n10d(t - 14),t - 14,t - 14,False,False,
mkt_n10d_lag_30,mkt_n10d(t - 30),t - 30,t - 30,False,False,
mkt_gprd_lag_1,mkt_gprd(t - 1),t - 1,t - 1,False,False,
mkt_gprd_lag_7,mkt_gprd(t - 7),t - 7,t - 7,False,False,
mkt_gprd_lag_14,mkt_gprd(t - 14),t - 14,t - 14,False,False,
mkt_gprd_lag_30,mkt_gprd(t - 30),t - 30,t - 30,False,False,
mkt_iron_ore_cfr_spot_lag_1,mkt_iron_ore_cfr_spot(t - 1),t - 1,t - 1,False,False,
mkt_iron_ore_cfr_spot_lag_7,mkt_iron_ore_cfr_spot(t - 7),t - 7,t - 7,False,False,
mkt_iron_ore_cfr_spot_lag_14,mkt_iron_ore_cfr_spot(t - 14),t - 14,t - 14,False,False,
mkt_iron_ore_cfr_spot_lag_30,mkt_iron_ore_cfr_spot(t - 30),t - 30,t - 30,False,False,
mkt_coal_australian_lag_1,mkt_coal_australian(t - 1),t - 1,t - 1,False,False,
mkt_coal_australian_lag_7,mkt_coal_australian(t - 7),t - 7,t - 7,False,False,
mkt_coal_australian_lag_14,mkt_coal_australian(t - 14),t - 14,t - 14,False,False,
mkt_coal_australian_lag_30,mkt_coal_australian(t - 30),t - 30,t - 30,False,False,
mkt_coal_south_african_lag_1,mkt_coal_south_african(t - 1),t - 1,t - 1,False,False,
mkt_coal_south_african_lag_7,mkt_coal_south_african(t - 7),t - 7,t - 7,False,False,
mkt_coal_south_african_lag_14,mkt_coal_south_african(t - 14),t - 14,t - 14,False,False,
mkt_coal_south_african_lag_30,mkt_coal_south_african(t - 30),t - 30,t - 30,False,False,
mkt_copper_lag_1,mkt_copper(t - 1),t - 1,t - 1,False,False,
mkt_copper_lag_7,mkt_copper(t - 7),t - 7,t - 7,False,False,
mkt_copper_lag_14,mkt_copper(t - 14),t - 14,t - 14,False,False,
mkt_copper_lag_30,mkt_copper(t - 30),t - 30,t - 30,False,False,
mkt_aluminum_lag_1,mkt_aluminum(t - 1),t - 1,t - 1,False,False,
mkt_aluminum_lag_7,mkt_aluminum(t - 7),t - 7,t - 7,False,False,
mkt_aluminum_lag_14,mkt_aluminum(t - 14),t - 14,t - 14,False,False,
mkt_aluminum_lag_30,mkt_aluminum(t - 30),t - 30,t - 30,False,False,
mkt_usd_inr_rmean_7,mean(mkt_usd_inr[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_usd_inr_rstd_7,std(mkt_usd_inr[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_usd_inr_rmean_14,mean(mkt_usd_inr[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_usd_inr_rstd_14,std(mkt_usd_inr[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_usd_inr_rmean_30,mean(mkt_usd_inr[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_usd_inr_rstd_30,std(mkt_usd_inr[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_brent_usd_per_barrel_rmean_7,mean(mkt_brent_usd_per_barrel[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_brent_usd_per_barrel_rstd_7,std(mkt_brent_usd_per_barrel[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_brent_usd_per_barrel_rmean_14,mean(mkt_brent_usd_per_barrel[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_brent_usd_per_barrel_rstd_14,std(mkt_brent_usd_per_barrel[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_brent_usd_per_barrel_rmean_30,mean(mkt_brent_usd_per_barrel[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_brent_usd_per_barrel_rstd_30,std(mkt_brent_usd_per_barrel[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_wti_usd_per_barrel_rmean_7,mean(mkt_wti_usd_per_barrel[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_wti_usd_per_barrel_rstd_7,std(mkt_wti_usd_per_barrel[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_wti_usd_per_barrel_rmean_14,mean(mkt_wti_usd_per_barrel[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_wti_usd_per_barrel_rstd_14,std(mkt_wti_usd_per_barrel[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_wti_usd_per_barrel_rmean_30,mean(mkt_wti_usd_per_barrel[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_wti_usd_per_barrel_rstd_30,std(mkt_wti_usd_per_barrel[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_n10d_rmean_7,mean(mkt_n10d[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_n10d_rstd_7,std(mkt_n10d[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_n10d_rmean_14,mean(mkt_n10d[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_n10d_rstd_14,std(mkt_n10d[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_n10d_rmean_30,mean(mkt_n10d[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_n10d_rstd_30,std(mkt_n10d[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_gprd_rmean_7,mean(mkt_gprd[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_gprd_rstd_7,std(mkt_gprd[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_gprd_rmean_14,mean(mkt_gprd[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_gprd_rstd_14,std(mkt_gprd[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_gprd_rmean_30,mean(mkt_gprd[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_gprd_rstd_30,std(mkt_gprd[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_iron_ore_cfr_spot_rmean_7,mean(mkt_iron_ore_cfr_spot[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_iron_ore_cfr_spot_rstd_7,std(mkt_iron_ore_cfr_spot[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_iron_ore_cfr_spot_rmean_14,mean(mkt_iron_ore_cfr_spot[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_iron_ore_cfr_spot_rstd_14,std(mkt_iron_ore_cfr_spot[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_iron_ore_cfr_spot_rmean_30,mean(mkt_iron_ore_cfr_spot[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_iron_ore_cfr_spot_rstd_30,std(mkt_iron_ore_cfr_spot[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_australian_rmean_7,mean(mkt_coal_australian[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_australian_rstd_7,std(mkt_coal_australian[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_australian_rmean_14,mean(mkt_coal_australian[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_australian_rstd_14,std(mkt_coal_australian[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_australian_rmean_30,mean(mkt_coal_australian[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_australian_rstd_30,std(mkt_coal_australian[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_south_african_rmean_7,mean(mkt_coal_south_african[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_south_african_rstd_7,std(mkt_coal_south_african[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_south_african_rmean_14,mean(mkt_coal_south_african[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_south_african_rstd_14,std(mkt_coal_south_african[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_south_african_rmean_30,mean(mkt_coal_south_african[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_coal_south_african_rstd_30,std(mkt_coal_south_african[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_copper_rmean_7,mean(mkt_copper[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_copper_rstd_7,std(mkt_copper[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_copper_rmean_14,mean(mkt_copper[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_copper_rstd_14,std(mkt_copper[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_copper_rmean_30,mean(mkt_copper[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_copper_rstd_30,std(mkt_copper[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_aluminum_rmean_7,mean(mkt_aluminum[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_aluminum_rstd_7,std(mkt_aluminum[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
mkt_aluminum_rmean_14,mean(mkt_aluminum[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_aluminum_rstd_14,std(mkt_aluminum[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
mkt_aluminum_rmean_30,mean(mkt_aluminum[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_aluminum_rstd_30,std(mkt_aluminum[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
mkt_usd_inr_chg_1,mkt_usd_inr(t) - mkt_usd_inr(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
mkt_usd_inr_pchg_1,(mkt_usd_inr(t) - mkt_usd_inr(t - 1)) / mkt_usd_inr(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
mkt_usd_inr_chg_7,mkt_usd_inr(t) - mkt_usd_inr(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
mkt_usd_inr_pchg_7,(mkt_usd_inr(t) - mkt_usd_inr(t - 7)) / mkt_usd_inr(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
mkt_usd_inr_chg_14,mkt_usd_inr(t) - mkt_usd_inr(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
mkt_usd_inr_pchg_14,(mkt_usd_inr(t) - mkt_usd_inr(t - 14)) / mkt_usd_inr(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
mkt_brent_usd_per_barrel_chg_1,mkt_brent_usd_per_barrel(t) - mkt_brent_usd_per_barrel(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
mkt_brent_usd_per_barrel_pchg_1,(mkt_brent_usd_per_barrel(t) - mkt_brent_usd_per_barrel(t - 1)) / mkt_brent_usd_per_barrel(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
mkt_brent_usd_per_barrel_chg_7,mkt_brent_usd_per_barrel(t) - mkt_brent_usd_per_barrel(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
