column,category,dtype,null_count,null_pct
mkt_iron_ore_cfr_spot_chg_14,momentum_feature,float64,14,0.54
mkt_iron_ore_cfr_spot_pchg_14,momentum_feature,float64,14,0.54
mkt_coal_australian_chg_1,momentum_feature,float64,1,0.04
mkt_coal_australian_pchg_1,momentum_feature,float64,1,0.04
mkt_coal_australian_chg_7,momentum_feature,float64,7,0.27
mkt_coal_australian_pchg_7,momentum_feature,float64,7,0.27
mkt_coal_australian_chg_14,momentum_feature,float64,14,0.54
mkt_coal_australian_pchg_14,momentum_feature,float64,14,0.54
mkt_coal_south_african_chg_1,momentum_feature,float64,1,0.04
mkt_coal_south_african_pchg_1,momentum_feature,float64,1,0.04
mkt_coal_south_african_chg_7,momentum_feature,float64,7,0.27
mkt_coal_south_african_pchg_7,momentum_feature,float64,7,0.27
mkt_coal_south_african_chg_14,momentum_feature,float64,14,0.54
mkt_coal_south_african_pchg_14,momentum_feature,float64,14,0.54
mkt_copper_chg_1,momentum_feature,float64,1,0.04
mkt_copper_pchg_1,momentum_feature,float64,1,0.04
mkt_copper_chg_7,momentum_feature,float64,7,0.27
mkt_copper_pchg_7,momentum_feature,float64,7,0.27
mkt_copper_chg_14,momentum_feature,float64,14,0.54
mkt_copper_pchg_14,momentum_feature,float64,14,0.54
mkt_aluminum_chg_1,momentum_feature,float64,1,0.04
mkt_aluminum_pchg_1,momentum_feature,float64,1,0.04
mkt_aluminum_chg_7,momentum_feature,float64,7,0.27
mkt_aluminum_pchg_7,momentum_feature,float64,7,0.27
mkt_aluminum_chg_14,momentum_feature,float64,14,0.54
mkt_aluminum_pchg_14,momentum_feature,float64,14,0.54
target_kdci_1d,forecast_target,float64,1,0.04
target_kdci_7d,forecast_target,float64,7,0.27
target_kdci_14d,forecast_target,float64,14,0.54
target_kdci_30d,forecast_target,float64,30,1.16
target_cape_1d,forecast_target,float64,19,0.74
target_cape_7d,forecast_target,float64,25,0.97
target_cape_14d,forecast_target,float64,32,1.24
target_cape_30d,forecast_target,float64,48,1.86
target_panamax_1d,forecast_target,float64,3,0.12
target_panamax_7d,forecast_target,float64,9,0.35
target_panamax_14d,forecast_target,float64,16,0.62
target_panamax_30d,forecast_target,float64,31,1.2
target_supramax_1d,forecast_target,float64,3,0.12
target_supramax_7d,forecast_target,float64,9,0.35
target_supramax_14d,forecast_target,float64,16,0.62
target_supramax_30d,forecast_target,float64,32,1.24
target_handy_1d,forecast_target,float64,3,0.12
target_handy_7d,forecast_target,float64,9,0.35
target_handy_14d,forecast_target,float64,16,0.62
target_handy_30d,forecast_target,float64,32,1.24
dir_kdci_1d,directional_target,float64,1,0.04
dir_kdci_7d,directional_target,float64,7,0.27
dir_kdci_14d,directional_target,float64,14,0.54
dir_kdci_30d,directional_target,float64,30,1.16
dir_cape_1d,directional_target,float64,32,1.24
dir_cape_7d,directional_target,float64,43,1.67
dir_cape_14d,directional_target,float64,50,1.94
dir_cape_30d,directional_target,float64,66,2.56
dir_panamax_1d,directional_target,float64,5,0.19
dir_panamax_7d,directional_target,float64,11,0.43
dir_panamax_14d,directional_target,float64,18,0.7
dir_panamax_30d,directional_target,float64,33,1.28
dir_supramax_1d,directional_target,float64,4,0.15
dir_supramax_7d,directional_target,float64,11,0.43
dir_supramax_14d,directional_target,float64,18,0.7
dir_supramax_30d,directional_target,float64,34,1.32
dir_handy_1d,directional_target,float64,4,0.15
dir_handy_7d,directional_target,float64,11,0.43
dir_handy_14d,directional_target,float64,18,0.7
dir_handy_30d,directional_target,float64,34,1.32
gdelt_event_count,gdelt_feature,float64,0,0.0
gdelt_geo_relevant_count,gdelt_feature,float64,0,0.0
