target,horizon,model,mean_sMAPE,std_sMAPE,best_sMAPE,worst_sMAPE,mean_R2,std_R2,mean_direction,std_direction,mean_vs_persistence_improvement,stability_class
panamax,1d,Ridge,1.31,0.23,0.99,1.64,0.964,0.0608,89.0%,4.98,0.43,REGIME_DEPENDENT
panamax,1d,Ridge_Residual_Hybrid,1.4,0.35,0.99,2.02,0.9644,0.0606,94.9%,1.97,0.34,REGIME_DEPENDENT
panamax,1d,Validation_Weighted_Ensemble,1.14,0.18,0.9,1.44,0.9951,0.0012,97.3%,2.92,0.6,REGIME_DEPENDENT
panamax,1d,XGBoost,1.13,0.19,0.9,1.48,0.9948,0.0015,99.5%,0.63,0.61,REGIME_DEPENDENT
panamax,30d,Naive_Mean_Change,20.29,2.62,16.5,23.65,-0.0788,0.4006,49.6%,16.74,-0.07,UNDERFIT / OVERFIT_RISK
panamax,30d,Neural_Net,25.74,16.91,12.43,57.27,-22.7838,43.7324,66.9%,12.56,-5.51,REGIME_DEPENDENT
panamax,30d,Persistence,20.22,2.7,15.96,23.81,-0.0751,0.418,N/A,0.0,0.0,REGIME_DEPENDENT
panamax,30d,Ridge,14.53,6.59,8.34,24.72,-1.3205,3.4948,78.3%,16.1,5.69,REGIME_DEPENDENT
panamax,30d,Ridge_Residual_Hybrid,13.48,5.21,8.38,20.96,-1.2401,3.5077,84.7%,17.72,6.75,REGIME_DEPENDENT
panamax,30d,Validation_Weighted_Ensemble,11.42,4.21,7.41,19.18,0.6235,0.2813,90.0%,18.16,8.8,PROMISING
panamax,30d,XGBoost,10.71,1.63,8.74,12.48,0.6638,0.1419,100.0%,0.0,9.51,PROMISING
panamax,7d,Naive_Mean_Change,9.03,0.81,7.71,9.78,0.7674,0.0366,47.6%,9.12,-0.03,UNDERFIT / OVERFIT_RISK
panamax,7d,Neural_Net,13.23,6.71,8.02,24.75,-28.1593,57.4517,65.7%,14.48,-4.23,REGIME_DEPENDENT
panamax,7d,Persistence,9.0,0.82,7.63,9.79,0.7682,0.0373,N/A,0.0,0.0,REGIME_DEPENDENT
panamax,7d,Ridge,6.33,1.27,4.78,7.9,-1.6507,5.0717,86.6%,3.89,2.67,ROBUST
panamax,7d,Ridge_Residual_Hybrid,6.07,0.82,4.97,7.28,-1.6619,5.111,92.3%,3.52,2.93,ROBUST
panamax,7d,Validation_Weighted_Ensemble,5.53,0.99,4.49,7.22,0.9107,0.0341,96.4%,4.41,3.47,ROBUST
panamax,7d,XGBoost,5.85,1.03,4.6,7.14,0.892,0.0457,99.8%,0.48,3.15,ROBUST
supramax,14d,Naive_Mean_Change,12.34,2.62,8.37,14.84,0.5188,0.1581,49.5%,9.92,-0.02,UNDERFIT / OVERFIT_RISK
supramax,14d,Neural_Net,13.44,6.04,7.39,23.95,-5.2727,11.3416,66.9%,12.64,-1.12,REGIME_DEPENDENT
supramax,14d,Persistence,12.32,2.62,8.28,14.81,0.5214,0.1574,N/A,0.0,0.0,REGIME_DEPENDENT
supramax,14d,Ridge,8.85,2.39,5.92,12.3,-0.5476,2.5765,82.9%,10.09,3.47,ROBUST
